일자,06시,07시,08시,09시
20190906,38.69,35.24,27.77,23.82
20190905,35.21,30.85,19.64,10.41
20190904,39.78,34.29,32.46,31.28
20190903,41.27,40.59,37.81,35.72
20190902,38.04,30.93,27.05,18.59
20190830,39.14,36.52,24.37,18.12
20190829,37.5,36.71,30.58,22.62
20190828,37.1,37.58,32.21,22.22
20190827,39.58,32.14,28.09,21.42
20190826,38.25,35.44,26.49,19.25
20190823,36.81,35.44,23.27,14.72
20190822,38.25,36.25,29.52,23.43
20190821,41.21,34.51,29.27,22.08
20190820,35.42,35.19,26.32,18.68
20190819,37.76,34.59,24.42,18.09
20190816,38.05,33.34,22.89,23.39
20190814,38.28,40.82,34.48,35.47
20190813,37.59,39.29,38.15,34.81
20190812,37.63,35.44,28.54,25.38
20190809,38.02,37.63,27.89,14.32
20190808,37.91,36.77,22.41,12.84
20190807,39.14,38.79,30.78,21.38
20190806,35.93,35.88,27.84,18.06
20190805,37.55,36.33,27.63,15.91
20190802,34.21,37.06,27.01,19.13
20190801,36.79,32.2,21.48,14.56
20190731,40.01,35.27,27.27,19.26
20190730,36.96,36.44,27.33,23.76
20190729,40.65,38,30.19,24.45
20190726,32.07,35.46,27.33,20.64
20190725,39.16,37.48,23.22,16.18
20190724,38.65,37.77,34.01,26.63
20190723,38.92,38.61,30.61,23.88
20190722,38.37,35.31,29.79,24.11
20190719,39.02,37.07,29.73,22.71
20190718,40.55,34.93,21.72,17.41
20190717,38.73,32.98,32.74,32.99
20190716,41.01,42.01,37.02,34.85
20190715,38.76,37.02,31.16,24.83
20190712,36.82,34.27,22.87,12.33
20190711,34.38,29.82,19.48,13.9
20190710,39.5,34.68,32.47,28.09
20190709,39.25,33.22,30.79,29.9
20190708,40.15,35.74,28.56,21.35
20190705,36.39,39.74,31.52,27.99
20190704,40.15,35.39,26.51,26.06
20190703,39.08,37.3,33.64,32.44
20190702,38.46,34.69,30.4,27.45
20190701,42.05,35.44,29.31,19.29
20190628,41.21,38.13,39.42,28.33
20190627,39.59,37.86,25.73,20.44
20190626,38.43,34.65,26.21,16.97
20190625,38.89,35.98,29.68,21.05
20190624,36.2,35.84,32.52,26.44
20190621,40.02,37.6,31.13,28.03
20190620,40.08,33.55,26.69,24.3
20190619,37.81,34.31,30.76,31.1
20190618,40.3,38.65,29.21,25.73
20190617,41.5,35.01,33.61,31.69
20190614,38.78,39.21,34.17,24.54
20190613,38.04,36.49,24.37,21.21
20190612,39.85,37.2,31.67,29.43
20190611,36.69,37.14,28.6,18.6
20190610,39.41,42.13,33.18,27.85
20190607,38.82,36.2,26.84,23.16
20190605,37.89,36.03,26.01,18.09
20190604,39.94,36.94,31.79,28.96
20190603,39.38,37.23,32,22.43
20190531,38.31,37.6,29.86,25.7
20190530,38.05,36.13,31.13,25.12
20190529,40.86,33.22,23.66,17.35
20190528,39.83,36.71,30.91,26.79
